name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jerry Jeudy,61,63,WR,WR,CLE,2741201,17,111,58,785,46.2,13.5,3,1,4,4,0,1,86,5.1,2026
Makai Lemon,62,61,WR,WR,PHI,29123772,17,87,53,735,43.2,13.9,4,3,13,4.3,0,2,86,5.1,2026
Kayshon Boutte,63,62,WR,WR,NE,3163170,17,56,36,589,34.6,16.4,6,0,0,0,0,0,86,5.1,2026
Cooper Kupp,64,66,WR,WR,SEA,2006951,17,86,57,698,41.1,12.3,4,1,3,3,0,1,85,5,2026
Elic Ayomanor,65,65,WR,WR,TEN,28900714,17,84,42,570,33.5,13.6,6,0,0,0,0,0,85,5,2026
Jalen Nailor,66,64,WR,WR,LV,2967232,17,76,43,575,33.8,13.4,6,2,6,3,0,0,85,5,2026
Tank Dell,67,68,WR,WR,HOU,2963970,17,79,50,672,39.5,13.4,4,12,53,4.4,0,0,84,4.9,2026
Tre Tucker,68,67,WR,WR,LV,3121848,17,85,52,613,36.1,11.8,5,12,48,4,0,0,84,4.9,2026
Christian Kirk,69,69,WR,WR,SF,2180820,17,97,56,637,37.5,11.4,4,0,0,0,0,0,79,4.6,2026
Troy Franklin,70,71,WR,WR,DEN,26693436,17,92,56,589,34.6,10.5,5,4,11,2.8,0,1,78,4.6,2026
Khalil Shakir,71,72,WR,WR,BUF,2969119,17,85,67,648,38.1,9.7,4,1,4,4,0,1,78,4.6,2026
Jalen McMillan,72,70,WR,WR,TB,3162347,17,66,46,626,36.8,13.6,4,5,29,5.8,0,0,78,4.6,2026
Marquise Brown,73,73,WR,WR,PHI,2804128,17,69,44,545,32.1,12.4,5,0,0,0,0,0,77,4.5,2026
Antonio Williams,74,74,WR,WR,WAS,28877974,17,73,45,650,38.2,14.4,4,3,15,5,0,2,76,4.5,2026
Tory Horton,75,75,WR,WR,SEA,3165177,17,64,39,504,29.6,12.9,6,1,6,6,0,1,75,4.4,2026
Devaughn Vele,76,76,WR,WR,NO,3121113,17,68,45,591,34.8,13.1,4,0,0,0,0,0,74,4.4,2026
Tyquan Thornton,77,77,WR,WR,KC,2965066,17,52,27,575,33.8,21.3,4,0,0,0,0,0,73,4.3,2026
Chris Bell,78,78,WR,WR,MIA,28877196,17,76,47,582,34.2,12.4,4,2,11,5.5,0,1,72,4.2,2026
Chimere Dike,79,79,WR,WR,TEN,3162452,17,70,45,431,25.4,9.6,6,10,17,1.7,0,1,70,4.1,2026
Omar Cooper Jr.,80,80,WR,WR,NYJ,28900921,17,72,44,520,30.6,11.8,4,2,13,6.5,0,1,66,3.9,2026
Jahdae Walker,81,81,WR,WR,CHI,29174299,17,52,32,431,25.4,13.5,5,1,7,7,0,0,65,3.8,2026
Jordyn Tyson,82,83,WR,WR,NO,28900885,12,65,40,574,47.8,14.4,3,1,7,7,0,1,64,5.3,2026
Xavier Hutchinson,83,82,WR,WR,HOU,3161943,17,78,43,536,31.5,12.5,3,2,16,8,0,0,64,3.8,2026
Darius Slayton,84,84,WR,WR,NYG,2183982,17,69,40,613,36.1,15.3,2,1,5,5,0,1,63,3.7,2026
Malik Benson,85,85,WR,WR,LV,29121426,17,77,48,558,32.8,11.6,3,2,8,4,0,1,63,3.7,2026
Jaylin Noel,86,86,WR,WR,HOU,26697286,17,57,40,475,27.9,11.9,4,6,13,2.2,0,0,62,3.6,2026
Isaac TeSlaa,87,87,WR,WR,DET,29122587,17,46,27,404,23.8,15,5,0,0,0,0,0,62,3.6,2026
Ashton Dulin,88,88,WR,WR,IND,3116796,17,49,25,551,32.4,22,2,6,66,11,0,0,61,3.6,2026
Calvin Austin III,89,89,WR,WR,NYG,2866214,17,58,33,449,26.4,13.6,4,0,0,0,0,0,60,3.5,2026
Germie Bernard,90,90,WR,WR,PIT,28878358,17,68,42,511,30.1,12.2,3,2,10,5,0,1,60,3.5,2026
Bub Means,91,91,WR,WR,NO,3123413,17,63,38,519,30.5,13.7,3,1,6,6,0,1,60,3.5,2026
Cedric Tillman,92,92,WR,WR,CLE,2962120,17,62,34,438,25.8,12.9,4,0,-1,0,0,0,59,3.5,2026
Demarcus Robinson,93,93,WR,WR,SF,2061095,17,53,32,462,27.2,14.4,3,1,5,5,0,0,56,3.3,2026
Andrei Iosivas,94,94,WR,WR,CIN,2966908,17,62,35,470,27.6,13.4,3,3,11,3.7,0,0,56,3.3,2026
Adonai Mitchell,95,96,WR,WR,NYJ,26701928,17,77,38,480,28.2,12.6,3,2,-1,-0.5,0,1,55,3.2,2026
Ted Hurst,96,95,WR,WR,TB,29421796,17,57,36,485,28.5,13.5,3,2,13,6.5,0,1,55,3.2,2026
Luke McCaffrey,97,97,WR,WR,WAS,3121502,17,30,22,362,21.3,16.5,4,0,0,0,0,0,53,3.1,2026
Olamide Zaccheaus,98,99,WR,WR,ATL,2186266,17,74,46,411,24.2,8.9,3,3,19,6.3,0,0,52,3.1,2026
Malik Washington,99,98,WR,WR,MIA,3124729,17,65,46,349,20.5,7.6,3,14,83,5.9,1,1,52,3.1,2026
Josh Palmer,100,100,WR,WR,BUF,2867325,17,58,35,480,28.2,13.7,2,0,0,0,0,0,51,3,2026
